Main Genre,Main Production,Release Year,Title,Duration,Index,Number Of Votes,Score
documentary,GB,2020,David Attenborough: A Life on Our Planet,83,0,31180,9
scifi,GB,2010,Inception,148,1,2268288,8.8
drama,US,1994,Forrest Gump,142,2,1994599,8.8
comedy,IN,2003,Anbe Sivam,160,3,20595,8.7
comedy,US,2021,Bo Burnham: Inside,87,4,44074,8.7
drama,US,1998,Saving Private Ryan,169,5,1346020,8.6
western,US,2012,Django Unchained,165,6,1472668,8.4
action,IN,2016,Dangal,161,7,180247,8.4
comedy,US,2016,Bo Burnham: Make Happy,60,8,14356,8.4
comedy,US,2010,Louis C.K.: Hilarious,84,9,11973,8.4
comedy,US,2019,Dave Chappelle: Sticks & Stones,65,10,25687,8.4
comedy,IN,2009,3 Idiots,170,11,385782,8.4
crime,IN,2004,Black Friday,143,12,20611,8.4
thriller,IN,2019,Super Deluxe,176,13,13680,8.4
documentary,UA,2015,Winter on Fire: Ukraine's Fight for Freedom,98,14,17710,8.3
drama,US,1984,Once Upon a Time in America,229,15,342335,8.3
crime,US,1976,Taxi Driver,113,16,795222,8.3
drama,IN,2007,Like Stars on Earth,165,17,188234,8.3
comedy,US,2013,Bo Burnham: What.,60,18,11488,8.3
drama,GB,1987,Full Metal Jacket,116,19,723306,8.3
drama,US,2011,Warrior,140,20,463276,8.2
thriller,IN,2015,Drishyam,163,21,79075,8.2
drama,IN,2014,Queen,146,22,64805,8.2
drama,IN,2012,Paan Singh Tomar,135,23,35888,8.2
documentary,US,2014,Cowspiracy: The Sustainability Secret,90,24,24845,8.2
war,CD,2014,Virunga,90,25,11403,8.2
comedy,IN,2014,PK,153,26,178012,8.2
fantasy,IN,2017,Bahubali 2: The Conclusion,168,27,91560,8.2
comedy,GB,1975,Monty Python and the Holy Grail,91,28,530877,8.2
crime,IN,2019,Article 15,130,29,32336,8.2
drama,TR,2019,Miracle in Cell No. 7,132,30,46939,8.2
documentary,US,2016,13th,100,31,34914,8.2
thriller,IN,2018,Andhadhun,139,32,88359,8.2
comedy,GB,2019,Bill Burr: Paper Tiger,67,33,10649,8.1
drama,IN,2010,Udaan,138,34,44556,8.1
fantasy,US,2010,How to Train Your Dragon,98,35,719717,8.1
comedy,ES,2019,Klaus,97,36,141480,8.1
drama,IN,2004,Swades,189,37,89085,8.1
action,IN,2021,Minnal Murali,158,38,24681,8.1
comedy,IN,2006,Rang De Basanti,157,39,118092,8.1
documentary,US,2021,Seaspiracy,80,40,29604,8.1
drama,US,2013,Rush,123,41,465254,8.1
comedy,AU,2018,Hannah Gadsby: Nanette,69,42,12035,8.1
drama,IN,2012,Barfi!,151,43,80643,8.1
drama,IN,2014,Haider,150,44,54001,8.1
comedy,IN,2011,Zindagi Na Milegi Dobara,166,45,75801,8.1
romance,JP,2016,A Silent Voice: The Movie,130,46,75132,8.1
fantasy,IN,2012,OMG: Oh My God!,125,47,57449,8.1
thriller,IN,2015,Talvar,132,48,34659,8.1
drama,US,2007,Into the Wild,140,49,611379,8.1
drama,IN,2001,Lagaan: Once Upon a Time in India,224,50,111053,8.1
